RadarSysTime_labeled,Radar_Time_labeled,RANGE_labeled,AZIMUTH_labeled,ELEVATION_labeled,X_labeled,Y_labeled,Z_labeled,VELX_labeled,VELY_labeled,VELZ_labeled,ACCX_labeled,ACCY_labeled,ACCZ_labeled,P_UAV_labeled,P_UNK_labeled,ID_labeled,RCSEst_labeled,RCSEst_DBSM_labeled
2022.06.30 11:15:36:671,97.671,330.166249168529,153.877094432617,27.1907213280102,-263.680800074714,129.306629307284,150.870750575326,2.014111,-7.795597,4.729773,0,0,0,0,0,811,0.1,-10
2022.06.30 11:15:37:235,98.235,335.237514562109,153.741574701354,26.8842877488878,-268.150495136087,132.286214432985,151.5910967011,2.010927,-7.788218,4.729898,0,0,0,254,254,811,0.1,-10
2022.06.30 11:15:37:784,98.784,339.888283133622,153.605970114655,26.5818991140939,-272.275176344352,135.123211571346,152.092047960497,2.010103,-7.783875,4.726254,0,0,0,254,254,811,0.1,-10
2022.06.30 11:15:38:334,99.334,344.855710769689,153.446138423896,26.2730538848587,-276.610982613943,138.237971840881,152.650216800161,2.009141,-7.778708,4.724214,0.000169,-0.000359,-0.000557,254,254,811,0.1,-10
2022.06.30 11:15:38:914,99.914,349.180448401579,152.741132781411,25.1336248535258,-281.013638851671,144.786565320024,148.307689713314,0.125377,-9.081141,4.93511,0,0,0,254,254,811,0.158489319246111,-8
2022.06.30 11:15:39:460,100.46,354.052271156923,152.479626063014,24.7115194806103,-285.236140078187,148.613473711117,148.011454070918,0.135698,-9.06865,4.928933,0,0,0,254,254,811,0.158489319246111,-8
2022.06.30 11:15:40:009,101.009,358.901826512252,152.254875478301,24.3502790302679,-289.381405035158,152.219483186196,147.980243384838,0.135294,-9.064953,4.926703,0,0,0,254,254,811,0.158489319246111,-8
2022.06.30 11:15:40:588,101.588,365.982405363133,152.672064213299,24.1639342836329,-296.647279691655,153.294292222712,149.814460112713,1.705478,-9.056131,4.173333,0,0,0,254,254,811,0.316227766016838,-5
2022.06.30 11:15:41:136,102.136,371.074875268052,152.605584000437,23.8170931677109,-301.405336084363,156.196421319557,149.846803109162,1.697974,-9.057041,4.180542,-0.00023,-0.029972,0.022383,254,254,811,0.316227766016838,-5
2022.06.30 11:15:41:684,102.684,376.638211318884,152.488248681173,23.4854517255016,-306.374517537932,159.568352906095,150.096428937279,1.69261,-9.054688,4.183755,-4e-06,6e-06,1e-05,254,254,811,0.316227766016838,-5
2022.06.30 11:15:42:231,103.231,380.848524962784,152.44215629718,23.1873665972016,-310.365309954882,161.964407113646,149.955007156357,1.692283,-9.051189,4.18189,0,0,0,254,254,811,0.316227766016838,-5
2022.06.30 11:15:42:796,103.796,385.944764474857,152.701711427786,23.401140041269,-314.752670022828,162.444060970392,153.284196819179,2.749944,-8.071824,3.997512,0,0,0,254,254,811,0.251188643150958,-6
2022.06.30 11:15:43:358,104.358,390.961185590446,152.689752798784,23.1729918255847,-319.356253875515,164.904392234275,153.846589727327,2.740813,-8.082257,4.000366,0,0,0,254,254,811,0.251188643150958,-6
2022.06.30 11:15:43:907,104.907,395.983662606034,152.678136510698,22.9506267408572,-323.959837728203,167.364723498624,154.408982634544,2.740185,-8.078284,3.998716,0,0,0,254,254,811,0.251188643150958,-6
2022.06.30 11:15:44:458,105.458,402.693568197565,152.199866629317,22.0236050714691,-330.221452021382,174.107003048906,151.005476661958,1.250002,-9.371492,4.391517,0,0,0,254,254,811,0.0630957344480193,-12
2022.06.30 11:15:45:022,106.022,407.817721354511,152.095633365898,21.672987062632,-334.922855892321,177.365206207458,150.610617416911,1.253069,-9.366775,4.389503,0,0,0,254,254,811,0.0630957344480193,-12
2022.06.30 11:15:45:556,106.556,413.352513214917,151.971123939221,21.3814407574673,-339.758148554574,180.872312938762,150.698065959848,1.252376,-9.363268,4.387753,0,0,0,254,254,811,0.0630957344480193,-12
2022.06.30 11:15:46:103,107.103,417.579869648966,151.389775445952,21.5821302164255,-340.891010130748,185.938735962689,153.600303439423,0.599027,-8.151853,5.752618,0,0,0,0,0,811,0.0501187233627272,-13
2022.06.30 11:15:46:668,107.668,422.679955476724,151.165067095258,21.3659309524295,-344.825150026393,189.843100382641,153.992070926353,0.602964,-8.156839,5.745877,0,0,0,254,254,811,0.0501187233627272,-13
2022.06.30 11:15:47:235,108.235,427.965278534233,150.950322311528,21.1308352635866,-348.970414982899,193.833188574303,154.280990743078,0.607309,-8.160317,5.737147,0,0,0,254,254,811,0.0501187233627272,-13
2022.06.30 11:15:47:797,108.797,433.193605327458,150.763425039151,20.9422411321764,-353.03844366986,197.602377849489,154.834935515188,0.607224,-8.156201,5.734665,0,0,0,254,254,811,0.0501187233627272,-13
2022.06.30 11:15:48:344,109.344,436.547312160747,151.256337703831,22.1304794842939,-354.557675451129,194.465981592788,164.454834336415,3.025516,-5.900263,5.474109,0,0,0,254,254,811,0.125892541179417,-9
2022.06.30 11:15:48:895,109.895,440.434253406856,151.189053866132,22.1046329446477,-357.54949508322,196.653460952381,165.735048904084,3.024671,-5.899747,5.473605,0.062527,-0.03263,-0.045718,254,254,811,0.125892541179417,-9
2022.06.30 11:15:49:474,110.474,446.088655030949,151.124482962805,22.0720617813934,-361.998606395887,199.632191175933,167.627817980945,3.024173,-5.896148,5.471797,0,0,0,254,254,811,0.125892541179417,-9
2022.06.30 11:15:50:022,111.022,455.145083330231,149.682137137444,21.268512756989,-366.138583773934,214.107269333934,165.098944787867,-0.292792,-7.092037,7.636223,0.020882,-0.010897,-0.015268,254,254,811,0.0501187233627272,-13
2022.06.30 11:15:50:589,111.589,460.66065009789,149.333513325916,21.1310882218552,-369.593821025157,219.156457061999,166.069531632587,-0.292418,-7.090775,7.63509,0,0,0,254,254,811,0.0501187233627272,-13
2022.06.30 11:15:51:153,112.153,465.870271449216,149.010812356059,21.0039425234892,-372.837933214589,223.927881659361,166.982900897041,-0.291779,-7.087754,7.632534,-0.00329,0.001208,0.001154,254,254,811,0.0501187233627272,-13
2022.06.30 11:15:51:714,112.714,471.094719872509,148.695791406186,20.8790258024626,-376.082045404487,228.699306256724,167.896270160563,-0.290821,-7.083794,7.629119,0,0,0,254,254,811,0.0501187233627272,-13
2022.06.30 11:15:52:295,113.295,477.787035211563,149.387700760188,19.0925935687672,-388.57959151919,229.917931461197,156.282106664963,0.014265,-10.180278,4.948913,0,1e-06,2e-06,254,254,811,0.0316227766016838,-15
2022.06.30 11:15:52:847,113.847,483.656504005395,149.236606039501,18.7964327623501,-393.435467929684,234.194050528284,155.837393262424,0.014101,-10.177272,4.947149,0,0,0,254,254,811,0.0316227766016838,-15
2022.06.30 11:15:53:394,114.394,489.21630115924,149.105689981252,18.5129496488962,-398.080219278852,238.192406464201,155.335462279618,0.013864,-10.173076,4.944693,0,0,0,254,254,811,0.0316227766016838,-15
2022.06.30 11:15:55:628,116.628,507.765134342477,147.4762334577,19.192103725981,-404.336734848615,257.826762986453,166.920929765329,0.425484,-6.89616,6.833831,0,0,0,0,0,811,0.158489319246111,-8
2022.06.30 11:15:56:192,117.192,512.956921289974,147.28909863276,19.0987986991331,-407.848624621609,261.943758578163,167.838523097336,0.42532,-6.895542,6.833339,0,0,0,254,254,811,0.158489319246111,-8
2022.06.30 11:15:56:756,117.756,518.215979546936,147.065288972919,19.0046054404953,-411.226625602822,266.387968672701,168.754004395567,0.425508,-6.893017,6.831427,0,0,0,254,254,811,0.158489319246111,-8
2022.06.30 11:15:57:305,118.305,523.091517332278,146.899981081852,18.9203691082071,-414.527390314024,270.227201133242,169.614380145445,0.425566,-6.890007,6.829134,0,0,0,254,254,811,0.158489319246111,-8
2022.06.30 11:15:57:856,118.856,526.571142798205,146.319883918799,17.9221546398694,-416.921714679695,277.84322498332,162.038867520168,-1.519429,-7.967877,6.638381,0,0,0,254,254,811,0.125892541179417,-9
2022.06.30 11:15:58:402,119.402,531.903915864929,146.039354968229,17.7433756984215,-420.186410617833,282.999583199882,162.099944334477,-1.518534,-7.965601,6.636583,0,0,0,254,254,811,0.125892541179417,-9
2022.06.30 11:15:58:982,119.982,537.032686463747,145.821414605981,17.5575339353364,-423.584995347286,287.636687554626,162.003067933023,-1.517843,-7.962189,6.633689,1e-06,-1e-06,-1e-06,254,254,811,0.125892541179417,-9
2022.06.30 11:15:59:514,120.514,536.471491354597,145.964056042837,17.3689013541263,-424.295606800808,286.57844292037,160.148977952078,-0.830837,-7.664363,5.349898,0,0,0,254,254,811,0.125892541179417,-9
2022.06.30 11:16:00:061,121.061,540.878558408471,145.812096812161,17.1997377010368,-427.405830199391,290.332806510414,159.939778421074,-0.833637,-7.663958,5.353675,0,0,0,254,254,811,0.125892541179417,-9
2022.06.30 11:16:00:627,121.627,545.960226253053,145.638661650085,17.0243300791016,-430.938303720159,294.6426963628,159.845014051534,-0.835467,-7.661402,5.354739,0,0,0,254,254,811,0.125892541179417,-9
2022.06.30 11:16:01:175,122.175,550.567148678281,145.497814117781,16.8436566052321,-434.259652179602,298.482783725489,159.532966850325,-0.837661,-7.658516,5.356076,0,0,0,254,254,811,0.125892541179417,-9
2022.06.30 11:16:01:727,122.727,550.909010314845,146.25859611149,16.7367006374371,-438.703664769783,293.037222124214,158.647466457449,1.124564,-7.781396,3.379948,0,0,0,254,254,811,0.0501187233627272,-13
2022.06.30 11:16:02:276,123.276,555.507342012726,146.287672733592,16.5678449750168,-442.905582247594,295.519000103945,158.403197005391,1.117548,-7.778464,3.385397,0,0,0,254,254,811,0.0501187233627272,-13
2022.06.30 11:16:02:824,123.824,559.992223771094,146.274378445444,16.4160674327648,-446.762485873229,298.242268813858,158.259663190693,1.117043,-7.775163,3.383789,0.00177,-0.001842,-0.003712,254,254,811,0.0501187233627272,-13
2022.06.30 11:16:03:377,124.377,563.051085781583,144.951531256347,15.3961945286646,-444.408951293022,311.739094158213,149.485605942085,-3.222695,-8.394243,5.142293,1e-06,-3e-06,-4e-06,254,254,811,0.0501187233627272,-13
2022.06.30 11:16:03:927,124.927,568.027752268194,144.70214210577,15.152590649383,-447.483105917609,316.810583504743,148.477107476443,-3.222346,-8.392855,5.141051,0,0,0,254,254,811,0.0501187233627272,-13
2022.06.30 11:16:04:478,125.478,572.875317796038,144.473824652133,14.900363592707,-450.557260542661,321.690033491814,147.308543758467,-3.221634,-8.390012,5.138504,0,0,0,254,254,811,0.0501187233627272,-13
2022.06.30 11:16:05:040,126.04,577.404901031914,144.260336885271,14.6550385279263,-453.420290106387,326.291720348181,146.082762459293,-3.220803,-8.386706,5.135538,0,0,0,254,254,811,0.0501187233627272,-13
2022.06.30 11:16:05:589,126.589,579.269962246122,144.345965352212,14.588794974099,-455.510956971405,326.764024453103,145.906578202732,-2.30064,-8.004561,4.464501,0,0,0,254,254,811,0.0630957344480193,-12
2022.06.30 11:16:06:153,127.153,583.874792163373,144.209144032783,14.3800935878789,-458.775652909543,330.768146518047,145.007263508625,-2.301825,-8.00282,4.464503,0,0,0,254,254,811,0.0630957344480193,-12
2022.06.30 11:16:06:715,127.715,588.422432310786,144.055834385703,14.1599681281226,-461.9064600559,334.907443727756,143.945771528408,-2.300627,-7.999682,4.461556,0.001684,-0.004454,-0.002783,254,254,811,0.0630957344480193,-12
2022.06.30 11:16:07:266,128.266,591.801441940552,142.647057158271,15.7232708408319,-452.82808241889,345.624273404606,160.373115232214,-3.050749,-3.753536,8.930943,-0.017687,-0.138779,0.018616,254,254,811,0.00794328234724281,-21
2022.06.30 11:16:07:828,128.828,596.039720007229,142.245332132725,15.7062667466592,-453.657097638904,351.317975680529,161.351372946985,-3.049778,-3.752548,8.929325,0.035963,-0.066271,-0.011415,254,254,811,0.00794328234724281,-21
2022.06.30 11:16:08:376,129.376,600.186728582909,141.861860465663,15.7182328173286,-454.408876589372,356.790779040435,162.594655618072,-3.048059,-3.750824,8.926476,0.014545,-0.019331,-0.038732,254,254,811,0.00794328234724281,-21
2022.06.30 11:16:08:927,129.927,607.728087123142,142.409459867469,15.2179743936113,-464.671669601376,357.723155183943,159.523702293634,-1.364467,-5.764401,6.811323,0,0,0,0,0,811,0.125892541179417,-9
2022.06.30 11:16:09:494,130.494,612.420602841099,142.195248150352,15.170058807475,-467.0146290242,362.315719393911,160.261194746941,-1.364953,-5.76331,6.811427,0,0,0,254,254,811,0.125892541179417,-9
2022.06.30 11:16:10:029,131.029,616.965486827803,141.998945853601,15.1111899597555,-469.357588447024,366.716244245818,160.838621947914,-1.3646,-5.761132,6.809821,-1e-06,-1.1e-05,6e-06,254,254,811,0.125892541179417,-9
2022.06.30 11:16:10:575,131.575,621.361452244596,141.820034229994,15.0416073646963,-471.700547869848,370.924729738734,161.255983898416,-1.363661,-5.758469,6.807157,0,0,0,254,254,811,0.125892541179417,-9
2022.06.30 11:16:11:123,132.123,626.862054848871,141.981028558486,14.5995901428029,-477.900410918307,373.631618054467,158.008376497775,-0.979134,-6.821352,5.788158,0,0,0,254,254,811,0.0316227766016838,-15
2022.06.30 11:16:11:671,132.671,631.544041680887,141.849162585079,14.509010730908,-480.799509255098,377.684336589849,158.222155140713,-0.979914,-6.818398,5.788303,0,0,0,254,254,811,0.0316227766016838,-15
2022.06.30 11:16:12:234,133.234,636.230671498088,141.719343896303,14.419693186414,-483.698607591889,381.7370551243,158.435933782719,-0.979271,-6.815607,5.785669,0,0,0,254,254,811,0.0316227766016838,-15
2022.06.30 11:16:12:784,133.784,640.622670585021,141.098644777041,14.6420471273407,-482.359719677339,389.234066040113,161.936248981394,-1.92389,-5.62711,7.259675,2e-06,-4e-06,-2e-06,254,254,811,0.1,-10
2022.06.30 11:16:13:333,134.333,645.465897539777,140.874695906322,14.5971981549821,-484.568790308848,394.153844752906,162.671629400924,-1.91737,-5.633315,7.250426,0,0,0,254,254,811,0.1,-10
2022.06.30 11:16:13:913,134.913,650.102585068076,140.650450808291,14.5284113659008,-486.643972148576,399.016759251939,163.08476728294,-1.914297,-5.633286,7.245112,0,0,0,254,254,811,0.1,-10
2022.06.30 11:16:14:462,135.462,654.463312784129,140.453853918246,14.47634007966,-488.641917718759,403.466735475035,163.60286486987,-1.910914,-5.633035,7.239213,0,0,0,254,254,811,0.1,-10
2022.06.30 11:16:15:008,136.008,661.899369387832,141.020959027596,12.5336398940341,-502.282522856468,406.436234708377,143.640626373701,-2.617719,-9.825233,3.863018,0,0,0,254,254,811,0.1,-10
2022.06.30 11:16:15:558,136.558,667.354936817087,140.934515902095,12.3000758985647,-506.257830248128,410.918427007735,142.167743711732,-2.617538,-9.822733,3.861228,0,0,0,254,254,811,0.1,-10
2022.06.30 11:16:16:105,137.105,672.479282799287,140.856779867615,12.0715516073803,-510.022012578462,415.122856175454,140.637643468566,-2.617275,-9.81908,3.858615,0,0,0,254,254,811,0.1,-10
2022.06.30 11:16:16:653,137.653,676.477983954868,139.46472745126,12.6989014469129,-501.551138798732,428.899417892946,148.708464037627,-4.901169,-6.793495,7.490033,0,0,0,254,254,811,0.125892541179417,-9
2022.06.30 11:16:17:201,138.201,681.094255299854,139.170530245049,12.5542825268115,-503.034112950962,434.659107029489,148.045690536499,-4.900578,-6.792609,7.488866,0,0,0,254,254,811,0.125892541179417,-9
2022.06.30 11:16:17:767,138.767,686.423743925666,138.868592342594,12.4083691606286,-504.93933722631,440.974322427912,147.497352198698,-4.898969,-6.790231,7.485707,0,0,0,254,254,811,0.125892541179417,-9
2022.06.30 11:16:18:318,139.318,691.429074778653,138.577461655289,12.2657713179949,-506.633436439867,447.011774695162,146.891796279699,-4.897049,-6.787416,7.481953,0,0,0,254,254,811,0.125892541179417,-9
2022.06.30 11:16:18:865,139.865,696.152540839212,138.312458761695,12.1391187253703,-508.250299383879,452.636288687409,146.391200064681,-4.894861,-6.784189,7.477654,-0.000144,-4.3e-05,0.000135,254,254,811,0.125892541179417,-9
2022.06.30 11:16:19:416,140.416,701.386043477535,138.036406677436,11.9880108007002,-510.155523658761,458.759464727304,145.682796474546,-4.892277,-6.780387,7.47259,0,0,0,254,254,811,0.125892541179417,-9
2022.06.30 11:16:19:965,140.965,706.263197091874,137.751748603934,11.8623347190083,-511.638497811458,464.711193222374,145.180088226683,-4.889898,-6.776897,7.467937,0,0,0,254,254,811,0.125892541179417,-9
2022.06.30 11:16:20:558,141.558,711.388491354041,137.493442426842,11.7391669102477,-513.46648581633,470.61347034579,144.736709591933,-4.887364,-6.773242,7.463016,0,0,0,254,254,811,0.125892541179417,-9
2022.06.30 11:16:21:109,142.109,716.679832631245,137.230107325876,11.5934559443377,-515.371710091678,476.736646386151,144.028306002729,-4.884135,-6.768743,7.456847,0,0,0,254,254,811,0.125892541179417,-9
2022.06.30 11:16:21:655,142.655,721.801888834229,136.964314921949,11.46100675619,-517.065809305235,482.774098653401,143.42275008373,-4.881352,-6.764738,7.451454,0,0,0,254,254,811,0.125892541179417,-9
2022.06.30 11:16:22:221,143.221,717.755465792333,135.124715543805,10.1521975112724,-500.669625501892,498.49474411325,126.5141291162,-10.097493,-6.234468,7.752205,1.9e-05,3e-06,-2.7e-05,0,0,811,0.0501187233627272,-13
2022.06.30 11:16:22:755,143.755,722.389413134085,134.709063323784,9.9235697703175,-500.602586678247,505.712500278209,124.492495683953,-10.095038,-6.234097,7.751424,0.023404,0.089814,-0.052224,254,254,811,0.0501187233627272,-13
2022.06.30 11:16:23:312,144.312,727.350079823413,134.250277179811,9.65930806738169,-500.345006541517,513.613545007705,122.041547977366,-10.092568,-6.232628,7.747961,0,0,0,254,254,811,0.0501187233627272,-13
2022.06.30 11:16:23:909,144.909,732.577049506547,133.818070711288,9.43378649214831,-500.355203987883,521.436278806661,120.075020092539,-10.087209,-6.230584,7.743176,0.007713,0.029608,-0.017213,254,254,811,0.0501187233627272,-13
2022.06.30 11:16:24:456,145.456,737.360114867315,133.420870400554,9.21286060339744,-500.288165164239,528.65403497162,118.053386660293,-10.080004,-6.228348,7.737918,2e-06,0,-3e-06,254,254,811,0.0501187233627272,-13
2022.06.30 11:16:25:022,146.022,742.685622482501,133.001467071753,8.99259780051309,-500.298362610605,536.476768771037,116.086858775467,-10.070684,-6.225389,7.730762,0,0,0,254,254,811,0.0501187233627272,-13
2022.06.30 11:16:25:556,146.556,747.708159170293,132.591085120718,8.77474993930272,-500.097434995645,544.021739439289,114.063113310374,-10.066002,-6.222694,7.724288,0,0,0,254,254,811,0.0501187233627272,-13
2022.06.30 11:16:26:106,147.106,744.546699052823,133.329466516477,11.1959747151054,-501.179309340454,531.290862264774,144.565233142115,-3.131068,-2.759151,8.221213,0,0,0,254,254,811,0.199526231496888,-7
2022.06.30 11:16:26:654,147.654,748.503205481441,133.084850617738,11.224116887639,-501.508838168271,536.208139362338,145.694080650806,-3.130462,-2.758687,8.22031,-0.000814,0.001708,0.002614,254,254,811,0.199526231496888,-7
2022.06.30 11:16:27:216,148.216,752.800919711965,132.825370063616,11.2386545070276,-501.915603266098,541.538354735374,146.717968455516,-3.128695,-2.757318,8.21764,0,0,0,254,254,811,0.199526231496888,-7
2022.06.30 11:16:27:766,148.766,756.467586613555,132.620736985279,11.2584452793455,-502.37902088523,545.936377971124,147.68886274565,-3.126846,-2.755896,8.214852,0,0,0,254,254,811,0.199526231496888,-7
2022.06.30 11:16:28:313,149.313,747.953070830251,132.37536281016,13.0980454211007,-490.993941453969,538.1715347231,169.499689774588,-0.382138,1.013894,9.207166,0,0,0,254,254,811,0.0199526231496888,-17
2022.06.30 11:16:28:893,149.893,751.044053480527,132.127267529307,13.2847024163332,-490.303913748687,542.111224637389,172.582335577346,-0.380802,1.014333,9.20553,0,0,0,254,254,811,0.0199526231496888,-17
2022.06.30 11:16:29:443,150.443,753.979870167989,131.890853311069,13.4602881123486,-489.613886042939,545.858875193146,175.504916128702,-0.378935,1.014934,9.203252,0,0,0,254,254,811,0.0199526231496888,-17
2022.06.30 11:16:29:995,150.995,758.296638792206,131.415447075748,12.3668510886844,-489.984393511728,555.476231354351,162.404565572739,-3.222595,-0.741992,8.103551,2e-06,-4e-06,-6e-06,254,254,811,0.0794328234724281,-11
2022.06.30 11:16:30:544,151.544,761.300509638959,131.154434744542,12.4315550127456,-489.25829703245,559.772850232028,163.887586181983,-3.221659,-0.741653,8.102383,0,0,0,254,254,811,0.0794328234724281,-11
2022.06.30 11:16:31:107,152.107,764.651753484293,130.879084609633,12.4819426819705,-488.609436823648,564.482407384246,165.265647087246,-3.219681,-0.740951,8.099928,0,0,0,254,254,811,0.0794328234724281,-11
2022.06.30 11:16:31:655,152.655,767.863360451404,130.630087190099,12.5343777364332,-488.094465406162,568.864750034103,166.645820026286,-3.21739,-0.740141,8.097086,0,0,0,254,254,811,0.0794328234724281,-11
2022.06.30 11:16:32:207,153.207,771.247514390028,130.359168573735,12.5833637157706,-487.445605196894,573.574307185852,168.023880931549,-3.214812,-0.73923,8.093888,0.056584,0.015422,-0.008403,254,254,811,0.0794328234724281,-11
2022.06.30 11:16:32:754,153.754,774.48890545274,130.114262812931,12.6344579847255,-486.930633779408,577.956649835243,169.404053870589,-3.211973,-0.738179,8.090375,0,0,0,254,254,811,0.0794328234724281,-11
2022.06.30 11:16:33:319,154.319,777.547251485391,129.866298719642,12.663833909074,-486.281773570141,582.282128270876,170.461984273046,-3.209369,-0.737257,8.087145,0.01887,0.005143,-0.002802,254,254,811,0.0794328234724281,-11
2022.06.30 11:16:33:897,154.897,773.584023382714,127.030663046836,12.8904892002793,-454.143931462197,601.998770572216,172.577550621703,-9.673115,4.086799,11.773908,0,0,0,254,254,811,0.0199526231496888,-17
2022.06.30 11:16:34:446,155.446,776.912887477383,126.355134441428,12.9567274299011,-448.819349853647,609.762838349539,174.195599523373,-9.669967,4.085968,11.771237,0.003417,-0.007644,-0.010627,254,254,811,0.0199526231496888,-17
2022.06.30 11:16:34:994,155.994,780.309537738045,125.748576965163,13.006083301825,-444.184795950846,617.043924666035,175.612177151255,-9.665263,4.084742,11.76726,0,0,0,254,254,811,0.0199526231496888,-17
2022.06.30 11:16:35:556,156.556,788.769744768155,126.777800192704,12.3627572806176,-461.29631222011,617.125868124214,168.875947031192,-6.257562,-0.610135,8.394577,-1e-06,3e-06,0,254,254,811,0.501187233627272,-3
2022.06.30 11:16:36:107,157.107,792.339123323994,126.44704058043,12.3361668720184,-459.844119262486,622.646476142232,169.280944223516,-6.256522,-0.610002,8.393438,0,0,0,254,254,811,0.501187233627272,-3
2022.06.30 11:16:36:653,157.653,795.947125572894,126.088301665278,12.3166330431985,-458.046912451754,628.408574890891,169.786677053198,-6.254001,-0.609671,8.390671,0,0,0,254,254,811,0.501187233627272,-3
2022.06.30 11:16:37:203,158.203,799.405959442453,125.768623088351,12.3116595071024,-456.517483224119,633.708283991964,170.456699201837,-6.251034,-0.609283,8.387416,0,0,0,254,254,811,0.501187233627272,-3
2022.06.30 11:16:37:751,158.751,796.525189059107,125.224227464538,10.8548861756109,-451.197811483012,639.039824813357,150.003380032256,-9.413632,-2.104721,6.385044,0,0,0,254,254,811,0.0316227766016838,-15
2022.06.30 11:16:38:314,159.314,800.199152612548,124.847674244604,10.6819255479664,-449.307883377445,645.322887226732,148.322220176458,-9.411681,-2.104516,6.382932,0,0,0,254,254,811,0.0316227766016838,-15
